id,given_names,paternal_surname,created_at,updated_at
1,Fernando,Ortega,2025-12-13 09:57:59,2025-12-13 09:57:59
2,Patricio,Ferreira,2025-12-13 09:57:59,2025-12-13 09:57:59
3,Ramón,Galleguillos,2025-12-13 09:57:59,2025-12-13 09:57:59
4,Tanya,Precilla,2025-12-13 09:57:59,2025-12-13 09:57:59
5,Sandra,Challapa,2025-12-13 09:57:59,2025-12-13 09:57:59
6,Mónica,Chamaca,2025-12-13 09:57:59,2025-12-13 09:57:59
7,Evelyn,Mamani,2025-12-13 09:57:59,2025-12-13 09:57:59
8,Kiara,Aliaga,2025-12-13 09:57:59,2025-12-13 09:57:59
9,Juan,Choque,2025-12-13 09:57:59,2025-12-13 09:57:59
10,Javier,García,2025-12-13 09:57:59,2025-12-13 09:57:59
11,Teófilo,Mamani,2025-12-13 09:57:59,2025-12-13 09:57:59
12,Rosauro,García,2025-12-13 09:57:59,2025-12-13 09:57:59
13,Samuel,Cayo,2025-12-13 09:57:59,2025-12-13 09:57:59
14,José,Bartolo,2025-12-13 09:57:59,2025-12-13 09:57:59
15,Williams,Mamani,2025-12-13 09:57:59,2025-12-13 09:57:59
16,Felipe,Rojas,2025-12-13 09:57:59,2025-12-13 09:57:59
17,Mauricio,Soria,2025-12-13 09:57:59,2025-12-13 09:57:59
18,Jorge,Zavala,2025-12-13 09:57:59,2025-12-13 09:57:59
19,Ximena,Naranjo,2025-12-13 09:57:59,2025-12-13 09:57:59
20,Juan Carlos,Godoy,2025-12-13 09:57:59,2025-12-13 09:57:59
21,Iván,Infante,2025-12-13 09:57:59,2025-12-13 09:57:59
22,Carlos,Smith,2025-12-13 09:57:59,2025-12-13 09:57:59
23,Richard,Godoy,2025-12-13 09:57:59,2025-12-13 09:57:59
24,Giovana,Poveda,2025-12-13 09:57:59,2025-12-13 09:57:59
25,José,Muñoz,2025-12-13 09:57:59,2025-12-13 09:57:59
26,Juan Pablo,Cortés,2025-12-13 09:57:59,2025-12-13 09:57:59
